Method,SN,SP,PPV,NPV,F,ACC
DC,0.38405797101449274,0.8887573964497042,0.53,0.8154180238870793,0.44537815126050423,0.7644959857270295
BC,0.358695652173913,0.8804733727810651,0.495,0.8078175895765473,0.41596638655462187,0.752007136485281
CC,0.3695652173913043,0.8840236686390532,0.51,0.8110749185667753,0.42857142857142855,0.7573595004460303
EC,0.38768115942028986,0.8899408284023669,0.535,0.8165038002171553,0.4495798319327731,0.7662801070472792
PageRank,0.36594202898550726,0.8828402366863906,0.505,0.8099891422366993,0.42436974789915966,0.7555753791257805
CDR_5,0.391304347826087,0.8911242603550296,0.54,0.8175895765472313,0.45378151260504207,0.768064228367529
CSR_3,0.37681159420289856,0.8863905325443787,0.52,0.8132464712269273,0.4369747899159664,0.7609277430865299
