Method,SN,SP,PPV,NPV,F,ACC
DC,0.154863813229572,0.9328629949931725,0.402834008097166,0.790549662487946,0.2237211916807195,0.7568233843986617
BC,0.1377431906614786,0.9283113336367774,0.3597560975609756,0.7863890495469443,0.1992121553179516,0.749427716147209
CC,0.14708171206225681,0.9299044151115157,0.38028169014084506,0.7884986491702045,0.21212121212121213,0.7527733755942948
EC,0.14941634241245136,0.930587164314975,0.386317907444668,0.7890775762253956,0.21548821548821545,0.7538298996302166
PageRank,0.15252918287937745,0.932407828857533,0.3975659229208925,0.7900115696104898,0.22047244094488194,0.7559429477020603
CDR,0.15953307392996108,0.9342284934000911,0.4149797570850202,0.7917068466730954,0.23046655424395726,0.7589364324705054
CSR,0.2132295719844358,0.9497041420118343,0.5535353535353535,0.8049768518518519,0.30786516853932583,0.7830603979573869
