Method,SN,SP,PPV,NPV,F,ACC
CSR_3,0.1961089494163424,0.9446973145197998,0.509090909090909,0.800733024691358,0.28314606741573034,0.7753125550272936
CSR_4,0.20544747081712061,0.9474283113336368,0.5333333333333333,0.8030478395061729,0.296629213483146,0.7795386511709808
CSR_5,0.2132295719844358,0.9497041420118343,0.5535353535353535,0.8049768518518519,0.30786516853932583,0.7830603979573869
CSR_6,0.2132295719844358,0.9497041420118343,0.5535353535353535,0.8049768518518519,0.30786516853932583,0.7830603979573869
CSR_7,0.2132295719844358,0.9497041420118343,0.5535353535353535,0.8049768518518519,0.30786516853932583,0.7830603979573869
CSR_8,0.2132295719844358,0.9497041420118343,0.5535353535353535,0.8049768518518519,0.30786516853932583,0.7830603979573869
CSR_9,0.2132295719844358,0.9497041420118343,0.5535353535353535,0.8049768518518519,0.30786516853932583,0.7830603979573869
CSR_10,0.2132295719844358,0.9497041420118343,0.5535353535353535,0.8049768518518519,0.30786516853932583,0.7830603979573869
CSR_11,0.2132295719844358,0.9497041420118343,0.5535353535353535,0.8049768518518519,0.30786516853932583,0.7830603979573869
CSR_12,0.2132295719844358,0.9497041420118343,0.5535353535353535,0.8049768518518519,0.30786516853932583,0.7830603979573869
